datetime,open,high,low,close,volume
2024.06.04 00:00,2345.58000,2349.78000,2344.80000,2349.25000,3196,0
2024.06.04 01:00,2349.24000,2349.53000,2347.19000,2347.68000,5328,0
2024.06.04 02:00,2347.65000,2351.68000,2344.17000,2344.37000,9675,0
2024.06.04 03:00,2344.36000,2345.05000,2339.03000,2339.66000,9458,0
2024.06.04 04:00,2339.59000,2339.71000,2332.22000,2333.27000,11730,0
2024.06.04 05:00,2333.18000,2334.12000,2326.62000,2329.82000,12558,0
2024.06.04 06:00,2329.83000,2334.80000,2328.80000,2329.12000,9318,0
2024.06.04 07:00,2329.12000,2329.75000,2325.24000,2327.91000,9110,0
2024.06.04 08:00,2327.91000,2335.85000,2326.61000,2335.05000,13426,0
2024.06.04 09:00,2335.05000,2337.92000,2322.00000,2323.81000,21791,0
2024.06.04 10:00,2323.49000,2332.17000,2315.54000,2317.48000,27145,0
2024.06.04 11:00,2317.57000,2328.75000,2317.32000,2326.04000,13980,0
2024.06.04 12:00,2326.07000,2329.58000,2322.46000,2323.85000,10171,0
2024.06.04 13:00,2323.84000,2330.30000,2323.68000,2328.75000,8953,0
2024.06.04 14:00,2328.74000,2329.71000,2326.02000,2328.13000,4830,0
2024.06.04 15:00,2328.13000,2328.24000,2325.94000,2327.17000,3382,0
2024.06.04 16:00,2327.18000,2327.61000,2325.92000,2326.83000,1405,0
2024.06.04 18:00,2327.56000,2328.25000,2327.24000,2327.72000,803,0
2024.06.04 19:00,2327.71000,2328.86000,2327.52000,2328.74000,1630,0
2024.06.04 20:00,2328.76000,2329.59000,2327.65000,2328.09000,4167,0
2024.06.04 21:00,2328.09000,2330.78000,2325.79000,2330.39000,9476,0
2024.06.04 22:00,2330.42000,2333.44000,2329.86000,2333.32000,7307,0
2024.06.04 23:00,2333.31000,2337.78000,2332.95000,2337.10000,5788,0
2024.06.05 00:00,2337.10000,2338.12000,2335.79000,2337.92000,3196,0
2024.06.05 01:00,2337.93000,2341.60000,2337.32000,2337.32000,6491,0
2024.06.05 02:00,2337.32000,2338.38000,2327.96000,2332.67000,9074,0
2024.06.05 03:00,2332.85000,2333.69000,2329.07000,2331.54000,7882,0
2024.06.05 04:00,2331.54000,2335.03000,2331.26000,2332.54000,6453,0
2024.06.05 05:00,2332.56000,2333.73000,2330.91000,2332.23000,6061,0
2024.06.05 06:00,2332.22000,2335.55000,2329.37000,2333.73000,6246,0
2024.06.05 07:00,2333.71000,2335.49000,2331.00000,2332.40000,5283,0
2024.06.05 08:00,2332.52000,2343.95000,2332.02000,2342.10000,13836,0
2024.06.05 09:00,2342.07000,2345.80000,2338.09000,2344.30000,17766,0
2024.06.05 10:00,2344.30000,2350.23000,2333.91000,2348.92000,25176,0
2024.06.05 11:00,2348.94000,2357.29000,2348.94000,2353.59000,16309,0
2024.06.05 12:00,2353.58000,2354.93000,2351.34000,2352.59000,8803,0
2024.06.05 13:00,2352.61000,2355.66000,2351.59000,2355.02000,5672,0
2024.06.05 14:00,2355.05000,2356.69000,2353.45000,2355.73000,4703,0
2024.06.05 15:00,2355.72000,2356.04000,2352.60000,2353.94000,3448,0
2024.06.05 16:00,2353.93000,2355.00000,2352.74000,2354.91000,1937,0
2024.06.05 18:00,2356.84000,2357.02000,2355.09000,2356.87000,1543,0
2024.06.05 19:00,2356.87000,2357.46000,2354.72000,2354.95000,1788,0
2024.06.05 20:00,2354.98000,2355.94000,2354.48000,2355.62000,3758,0
2024.06.05 21:00,2355.58000,2373.21000,2355.46000,2367.38000,17388,0
2024.06.05 22:00,2367.33000,2374.58000,2365.09000,2374.21000,10080,0
2024.06.05 23:00,2374.26000,2374.84000,2367.57000,2368.37000,6752,0
2024.06.06 00:00,2368.44000,2370.49000,2366.78000,2369.37000,4126,0
2024.06.06 01:00,2369.37000,2371.28000,2366.28000,2367.69000,6924,0
2024.06.06 02:00,2367.68000,2367.87000,2363.02000,2367.01000,7613,0
2024.06.06 03:00,2367.02000,2368.28000,2362.15000,2362.80000,6238,0
2024.06.06 04:00,2362.81000,2363.12000,2359.75000,2362.82000,5862,0
2024.06.06 05:00,2362.82000,2363.82000,2358.43000,2361.48000,5861,0
2024.06.06 06:00,2361.49000,2361.90000,2359.42000,2360.98000,3846,0
2024.06.06 07:00,2360.99000,2361.88000,2359.07000,2359.68000,4665,0
2024.06.06 08:00,2359.67000,2365.11000,2355.17000,2357.49000,16392,0
2024.06.06 09:00,2357.53000,2366.85000,2353.34000,2360.45000,23879,0
2024.06.06 10:00,2360.46000,2366.22000,2358.33000,2364.18000,17937,0
2024.06.06 11:00,2364.09000,2378.42000,2363.99000,2374.09000,17355,0
2024.06.06 12:00,2374.11000,2376.86000,2370.27000,2372.81000,11460,0
2024.06.06 13:00,2372.81000,2373.86000,2370.59000,2373.01000,8945,0
2024.06.06 14:00,2373.02000,2373.62000,2368.86000,2371.96000,7306,0
2024.06.06 15:00,2371.95000,2375.33000,2371.06000,2372.44000,6287,0
2024.06.06 16:00,2372.45000,2375.97000,2372.19000,2375.69000,2428,0
2024.06.06 18:00,2376.78000,2377.04000,2375.53000,2376.92000,909,0
2024.06.06 19:00,2376.92000,2378.11000,2376.09000,2376.83000,1640,0
2024.06.06 20:00,2376.83000,2379.15000,2376.00000,2378.31000,4750,0
2024.06.06 21:00,2378.41000,2379.91000,2370.10000,2370.96000,12839,0
2024.06.06 22:00,2370.97000,2378.10000,2369.32000,2376.53000,8786,0
2024.06.06 23:00,2376.51000,2381.97000,2375.07000,2380.03000,6861,0
2024.06.07 00:00,2380.02000,2387.36000,2379.19000,2386.59000,4555,0
2024.06.07 01:00,2386.60000,2387.60000,2374.89000,2375.80000,10684,0
2024.06.07 02:00,2375.77000,2377.69000,2372.81000,2375.35000,9930,0
2024.06.07 03:00,2375.36000,2379.26000,2372.79000,2373.50000,7231,0
2024.06.07 04:00,2373.49000,2373.85000,2342.51000,2347.24000,19613,0
2024.06.07 05:00,2347.20000,2347.95000,2337.34000,2339.25000,11506,0
2024.06.07 06:00,2339.25000,2339.25000,2331.89000,2333.59000,9287,0
2024.06.07 07:00,2333.50000,2339.22000,2330.80000,2336.50000,10901,0
2024.06.07 08:00,2336.52000,2339.26000,2313.37000,2319.24000,27749,0
2024.06.07 09:00,2319.25000,2327.98000,2304.89000,2309.36000,26395,0
2024.06.07 10:00,2309.37000,2321.02000,2307.56000,2313.30000,21891,0
2024.06.07 11:00,2313.31000,2315.47000,2304.38000,2304.94000,15323,0
2024.06.07 12:00,2304.95000,2314.42000,2302.90000,2311.58000,11000,0
2024.06.07 13:00,2311.57000,2312.24000,2303.63000,2305.37000,7638,0
2024.06.07 14:00,2305.48000,2307.08000,2299.90000,2301.40000,6250,0
2024.06.07 15:00,2301.41000,2301.41000,2287.56000,2288.19000,8595,0
2024.06.07 16:00,2288.14000,2294.20000,2286.66000,2293.49000,3891,0
2024.06.09 18:00,2294.74000,2298.35000,2288.89000,2297.41000,3742,0
2024.06.09 19:00,2297.41000,2299.98000,2296.47000,2298.45000,3687,0
2024.06.09 20:00,2298.45000,2299.75000,2294.09000,2296.94000,5334,0
