XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/26/2025 00:00,4494.87,4497.59,4492.37,4497.13,226,0.05,
12/25/2025 23:00,4498.82,4504.9,4481.16,4495.07,-375,-0.08,
12/24/2025 18:00,4480.62,4482.46,4477.3,4479.01,-161,-0.04,
12/24/2025 17:00,4476.87,4487.75,4475.55,4480.49,362,0.08,
12/24/2025 16:00,4458.12,4477.62,4455.73,4476.83,1871,0.42,
12/24/2025 15:00,4464.99,4476.63,4448.08,4456.58,-841,-0.19,
12/24/2025 14:00,4488.02,4489.57,4461.73,4469.65,-1837,-0.41,
12/24/2025 13:00,4490.72,4493.26,4474.4,4487.91,-281,-0.06,
12/24/2025 12:00,4491.46,4496.1,4489.85,4490.69,-77,-0.02,
12/24/2025 11:00,4489.36,4491.92,4482.85,4491.5,214,0.05,
12/24/2025 10:00,4494.82,4499.91,4482.32,4489.34,-548,-0.12,
12/24/2025 09:00,4482.19,4495.91,4482.13,4494.71,1252,0.28,
12/24/2025 08:00,4483.77,4492.76,4478.05,4482.07,-170,-0.04,
12/24/2025 07:00,4493.67,4495.05,4483.36,4483.58,-1009,-0.23,
12/24/2025 06:00,4488.32,4498.09,4485.27,4493.56,524,0.12,
12/24/2025 05:00,4499.19,4500.77,4485.4,4488.58,-1061,-0.24,
12/24/2025 04:00,4493.22,4501.54,4491.23,4499.19,597,0.13,
12/24/2025 03:00,4477.24,4498.31,4471.12,4493.2,1596,0.36,
12/24/2025 02:00,4518.67,4519.29,4474.71,4476.25,-4242,-0.95,
12/24/2025 01:00,4511.98,4525.65,4507.08,4518.63,665,0.15,
12/24/2025 00:00,4503.42,4518.17,4500.67,4512.14,872,0.19,
12/23/2025 23:00,4486.01,4510.44,4486.01,4503.4,1739,0.39,
12/23/2025 22:00,4484.34,4484.34,4484.34,4484.34,0,0.00,
12/23/2025 21:00,4497.48,4498.86,4483.32,4484.71,-1277,-0.28,
12/23/2025 20:00,4490.89,4499.66,4489.61,4497.77,688,0.15,
12/23/2025 19:00,4484.31,4496.31,4484.31,4490.82,651,0.14,
12/23/2025 18:00,4472.79,4484.99,4472.74,4484.49,1170,0.26,
12/23/2025 17:00,4474.28,4479.96,4470.28,4477.8,352,0.08,
12/23/2025 16:00,4458.55,4463.2,4456.33,4460.69,214,0.05,
12/23/2025 15:00,4446.35,4452.07,4430.43,4446.54,19,0.00,
12/23/2025 14:00,4479.18,4479.69,4449.06,4460.31,-1887,-0.42,
12/23/2025 13:00,4486.31,4497.41,4473.24,4474.24,-1207,-0.27,
12/23/2025 12:00,4493.58,4493.76,4483.47,4486.46,-712,-0.16,
12/23/2025 11:00,4484.17,4494.29,4483.11,4493.63,946,0.21,
12/23/2025 10:00,4480.41,4487.64,4479.55,4484.13,372,0.08,
12/23/2025 09:00,4489.92,4491.13,4477.97,4480.41,-951,-0.21,
12/23/2025 08:00,4486.56,4493.22,4484.8,4489.93,337,0.08,
12/23/2025 07:00,4481.3,4489.59,4478.35,4486.59,529,0.12,
12/23/2025 06:00,4475.12,4481.43,4469.64,4481.32,620,0.14,
12/23/2025 05:00,4482.56,4485.56,4474.81,4475.02,-754,-0.17,
12/23/2025 04:00,4486.86,4488.45,4478.73,4482.6,-426,-0.10,
12/23/2025 03:00,4493.47,4496.46,4483,4486.85,-662,-0.15,
12/23/2025 02:00,4486.63,4497.9,4481.24,4492.2,557,0.12,
12/23/2025 01:00,4470.63,4490.75,4469.46,4486.77,1614,0.36,
12/23/2025 00:00,4460.24,4470.58,4457.91,4470.42,1018,0.23,
12/22/2025 23:00,4447.56,4461.77,4447.16,4460.24,1268,0.28,
12/22/2025 22:00,4443.31,4443.31,4443.31,4443.31,0,0.00,
12/22/2025 21:00,4438.71,4449.01,4438.45,4443.68,497,0.11,
12/22/2025 20:00,4433.46,4439.35,4431.9,4438.83,537,0.12,
12/22/2025 19:00,4435.17,4435.98,4428.86,4433.5,-167,-0.04,
