entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month,exit_month
2024-01-11 14:00:00,2024-01-11 15:00:00,LONG,RANGE,48571.245,50419.983,False,False,False,False,SL,3.8060337963336077,1848.6379999999976,1.0,2024-01,2024-01
2024-01-12 14:00:00,2024-01-12 22:00:00,SHORT,RANGE,45441.994999999995,42341.0,True,True,False,True,TRAILING_SL,4.142157491104864,1882.2789999999977,8.0,2024-01,2024-01
2024-01-12 15:00:00,2024-01-12 23:00:00,SHORT,RANGE,44461.985,42341.0,True,True,False,True,TRAILING_SL,3.792626442566608,1686.276999999999,8.0,2024-01,2024-01
2024-01-18 14:00:00,2024-01-18 15:00:00,LONG,RANGE,42738.725,60445.900980000006,False,False,False,False,SL,41.43098789212829,17707.075980000005,1.0,2024-01,2024-01
2024-01-18 15:00:00,2024-01-19 07:00:00,SHORT,RANGE,42619.295,41524.28,True,False,False,True,TRAILING_SL,2.7649331130418724,1178.394999999999,16.0,2024-01,2024-01
2024-01-22 14:00:00,2024-01-23 23:00:00,SHORT,TREND,40694.725,39817.0,True,False,False,True,TRAILING_SL,3.1459682428127933,1280.2431249999984,33.0,2024-01,2024-01
2024-01-26 10:00:00,2024-01-26 11:00:00,LONG,RANGE,40692.665,61925.925,False,False,False,False,SL,52.1793301077725,21233.160000000003,1.0,2024-01,2024-01
2024-01-26 14:00:00,2024-01-26 15:00:00,LONG,RANGE,41588.025,64670.434980000005,False,False,False,False,SL,55.502298991115836,23082.309980000005,1.0,2024-01,2024-01
2024-01-29 15:00:00,2024-01-29 16:00:00,LONG,RANGE,42641.775,90319.025,False,False,False,False,SL,111.8085492454289,47677.149999999994,1.0,2024-01,2024-01
2024-02-02 15:00:00,2024-02-02 16:00:00,LONG,RANGE,43242.115,91048.563,False,False,False,False,SL,110.55506420072192,47806.348,1.0,2024-02,2024-02
2024-02-05 13:00:00,2024-02-05 14:00:00,LONG,RANGE,43447.695,74359.00899999999,False,False,False,False,SL,71.14580877075295,30911.21399999999,1.0,2024-02,2024-02
2024-02-06 08:00:00,2024-02-06 09:00:00,LONG,RANGE,43069.045,75605.37127999999,False,False,False,False,SL,75.54434113874593,32536.226279999995,1.0,2024-02,2024-02
2024-02-06 15:00:00,2024-02-06 16:00:00,LONG,RANGE,43244.915,82945.44172,False,False,False,False,SL,91.80368771681017,39700.42672,1.0,2024-02,2024-02
2024-02-08 13:00:00,2024-02-08 14:00:00,LONG,RANGE,44984.025,101180.32886000001,False,False,False,False,SL,124.92480132669321,56196.20386000001,1.0,2024-02,2024-02
2024-02-08 15:00:00,2024-02-08 16:00:00,LONG,RANGE,45432.325000000004,101180.32886000001,False,False,False,False,SL,122.7053730135977,55747.903860000006,1.0,2024-02,2024-02
2024-02-08 14:00:00,2024-02-09 19:00:00,LONG,RANGE,45078.015,47359.0,True,True,False,True,TRAILING_SL,3.811779607716383,1718.2745833333324,29.0,2024-02,2024-02
2024-02-08 08:00:00,2024-02-10 10:00:00,LONG,TREND,44718.355,46938.0,True,True,False,True,TRAILING_SL,5.132345729920815,2295.1005833333315,50.0,2024-02,2024-02
2024-02-08 09:00:00,2024-02-10 10:00:00,LONG,TREND,44692.835,46938.0,True,True,False,True,TRAILING_SL,5.1466969854713085,2300.204791666666,49.0,2024-02,2024-02
2024-02-14 08:00:00,2024-02-14 09:00:00,LONG,RANGE,50758.025,107135.42480000001,False,False,False,False,SL,111.0707120696678,56377.29980000001,1.0,2024-02,2024-02
2024-02-14 09:00:00,2024-02-14 10:00:00,LONG,RANGE,51551.125,107135.42480000001,False,False,False,False,SL,107.82344672400458,55584.19980000001,1.0,2024-02,2024-02
2024-02-15 14:00:00,2024-02-15 15:00:00,LONG,TREND,52621.335,109757.071,False,False,False,False,SL,108.57884164284314,57135.636,1.0,2024-02,2024-02
2024-02-20 13:00:00,2024-02-20 14:00:00,LONG,RANGE,52840.155,83655.13947999998,False,False,False,False,SL,58.31717276378161,30814.884479999986,1.0,2024-02,2024-02
2024-02-22 14:00:00,2024-02-22 15:00:00,LONG,RANGE,51374.025,86632.91200000001,False,False,False,False,SL,68.63154483223771,35258.78700000001,1.0,2024-02,2024-02
2024-02-26 15:00:00,2024-02-27 01:00:00,LONG,RANGE,52842.345,54954.52,True,False,False,True,TRAILING_SL,3.1924680859640073,1686.9749999999972,10.0,2024-02,2024-02
2024-02-27 08:00:00,2024-02-28 16:00:00,LONG,TREND,56236.015,61216.0,True,False,False,True,TRAILING_SL,5.923914298218557,3331.3733333333325,32.0,2024-02,2024-02
2024-02-27 09:00:00,2024-02-28 16:00:00,LONG,TREND,56615.965000000004,61216.0,True,False,False,True,TRAILING_SL,5.548609021619014,3141.3985416666633,31.0,2024-02,2024-02
2024-02-27 10:00:00,2024-02-28 16:00:00,LONG,TREND,56528.275,61216.0,True,False,False,True,TRAILING_SL,5.634779674419569,3185.2437499999987,30.0,2024-02,2024-02
2024-02-27 13:00:00,2024-02-28 16:00:00,LONG,TREND,57112.315,61216.0,True,False,False,True,TRAILING_SL,5.065850289906823,2893.224374999998,27.0,2024-02,2024-02
2024-02-27 14:00:00,2024-02-28 16:00:00,LONG,TREND,56976.355,61216.0,True,False,False,True,TRAILING_SL,5.197251707894144,2961.2045833333304,26.0,2024-02,2024-02
2024-03-04 10:00:00,2024-03-04 17:00:00,LONG,TREND,65068.205,66262.99,True,False,False,True,TRAILING_SL,2.211187476279705,1438.7800000000047,7.0,2024-03,2024-03
2024-03-04 13:00:00,2024-03-04 17:00:00,LONG,TREND,65111.235,66262.99,True,False,False,True,TRAILING_SL,2.1766827184279416,1417.2650000000056,4.0,2024-03,2024-03
2024-03-04 08:00:00,2024-03-04 18:00:00,LONG,TREND,65241.105,66262.99,True,False,False,True,TRAILING_SL,2.072818968961374,1352.3300000000077,10.0,2024-03,2024-03
2024-03-04 09:00:00,2024-03-04 18:00:00,LONG,TREND,65290.315,66262.99,True,False,False,True,TRAILING_SL,2.033571135320766,1327.7250000000045,9.0,2024-03,2024-03
2024-03-04 14:00:00,2024-03-05 04:00:00,LONG,TREND,66169.435,67424.8,True,False,False,True,TRAILING_SL,2.22016403797313,1469.0700000000056,14.0,2024-03,2024-03
2024-03-05 08:00:00,2024-03-05 16:00:00,LONG,TREND,66866.775,67527.0,True,False,False,True,TRAILING_SL,1.7519911794759144,1171.5000000000057,8.0,2024-03,2024-03
2024-03-05 09:00:00,2024-03-05 16:00:00,LONG,TREND,66407.915,67527.0,True,False,False,True,TRAILING_SL,2.1095828712586537,1400.9300000000062,7.0,2024-03,2024-03
2024-03-05 10:00:00,2024-03-05 16:00:00,LONG,TREND,66810.20499999999,67527.0,True,False,False,True,TRAILING_SL,1.7958109842650678,1199.7850000000094,6.0,2024-03,2024-03
2024-03-08 14:00:00,2024-03-08 16:00:00,LONG,RANGE,68422.025,69149.0,True,False,False,True,TRAILING_SL,1.4532966541110204,994.3750000000058,2.0,2024-03,2024-03
2024-03-11 13:00:00,2024-03-14 12:00:00,LONG,TREND,71503.995,72515.0,True,False,False,True,TRAILING_SL,1.8836229010700807,1346.8656250000054,71.0,2024-03,2024-03
2024-03-11 15:00:00,2024-03-14 12:00:00,LONG,TREND,72010.025,72515.0,True,False,False,True,TRAILING_SL,1.5190208469816149,1093.8472916666724,69.0,2024-03,2024-03
2024-03-18 13:00:00,2024-03-19 02:00:00,SHORT,RANGE,67552.365,66342.0,True,False,False,True,TRAILING_SL,1.8297953002829814,1236.0700000000058,13.0,2024-03,2024-03
2024-03-19 09:00:00,2024-03-19 16:00:00,SHORT,TREND,64141.814999999995,63672.78,True,False,False,True,TRAILING_SL,1.6773847138563158,1075.9049999999975,7.0,2024-03,2024-03
2024-03-19 08:00:00,2024-03-20 00:00:00,SHORT,TREND,63463.975,62817.0,True,False,False,True,TRAILING_SL,1.835490134363627,1164.8749999999986,16.0,2024-03,2024-03
2024-03-19 10:00:00,2024-03-20 00:00:00,SHORT,TREND,63255.985,62817.0,True,False,False,True,TRAILING_SL,1.67712193557653,1060.8799999999994,14.0,2024-03,2024-03
2024-03-19 13:00:00,2024-03-20 00:00:00,SHORT,TREND,63563.985,62817.0,True,False,False,True,TRAILING_SL,1.9112709815157114,1214.8799999999997,11.0,2024-03,2024-03
2024-03-19 14:00:00,2024-03-20 07:00:00,SHORT,TREND,62887.975,62037.0,True,False,False,True,TRAILING_SL,2.0144948219433028,1266.8749999999986,17.0,2024-03,2024-03
2024-03-22 10:00:00,2024-03-22 14:00:00,SHORT,RANGE,64656.345,63442.11,True,False,False,True,TRAILING_SL,1.9147463408270289,1238.0049999999997,4.0,2024-03,2024-03
2024-03-24 08:00:00,2024-03-25 00:00:00,LONG,RANGE,65244.025,66787.69,True,True,False,True,TRAILING_SL,2.4075967109631864,1570.812999999999,16.0,2024-03,2024-03
2024-03-25 13:00:00,2024-03-25 21:00:00,LONG,RANGE,67984.025,70309.0,True,True,False,True,TRAILING_SL,2.5404129867274055,1727.075000000006,8.0,2024-03,2024-03
2024-03-25 14:00:00,2024-03-25 21:00:00,LONG,RANGE,69377.215,70309.0,True,False,False,True,TRAILING_SL,1.5808936694850098,1096.7800000000045,7.0,2024-03,2024-03
2024-04-01 08:00:00,2024-04-01 18:00:00,SHORT,RANGE,69388.615,68903.86,True,False,False,True,TRAILING_SL,1.2585133742761767,873.2650000000053,10.0,2024-04,2024-04
2024-04-01 09:00:00,2024-04-01 18:00:00,SHORT,RANGE,69394.975,68903.86,True,False,False,True,TRAILING_SL,1.2629804967866989,876.4450000000056,9.0,2024-04,2024-04
2024-04-01 14:00:00,2024-04-02 03:00:00,SHORT,RANGE,68906.04500000001,66841.0,True,True,False,True,TRAILING_SL,2.4309753955549285,1675.0890000000074,13.0,2024-04,2024-04
2024-04-01 15:00:00,2024-04-02 03:00:00,SHORT,RANGE,68237.125,66841.0,True,True,False,True,TRAILING_SL,2.2587484452195263,1541.3050000000046,12.0,2024-04,2024-04
2024-04-02 08:00:00,2024-04-02 18:00:00,SHORT,TREND,66239.99500000001,65812.0,True,False,False,True,TRAILING_SL,1.5932745767870364,1055.385000000004,10.0,2024-04,2024-04
2024-04-04 13:00:00,2024-04-04 19:00:00,LONG,RANGE,67242.17499999999,68468.91,True,False,False,True,TRAILING_SL,1.850408616318569,1244.2550000000106,6.0,2024-04,2024-04
2024-04-09 13:00:00,2024-04-10 02:00:00,SHORT,TREND,69927.975,69472.0,True,False,False,True,TRAILING_SL,1.5292520625686725,1069.3750000000057,13.0,2024-04,2024-04
2024-04-12 13:00:00,2024-04-12 18:00:00,SHORT,RANGE,69887.975,65927.86,True,True,False,True,TRAILING_SL,2.939136525274921,2054.1030000000055,5.0,2024-04,2024-04
2024-04-12 14:00:00,2024-04-12 18:00:00,SHORT,RANGE,69269.985,65927.86,True,False,False,True,TRAILING_SL,3.3231564868968904,2301.950000000003,4.0,2024-04,2024-04
2024-04-17 14:00:00,2024-04-17 16:00:00,SHORT,RANGE,61279.635,60519.16,True,False,False,True,TRAILING_SL,1.6500179872154892,1011.1249999999986,2.0,2024-04,2024-04
2024-04-18 13:00:00,2024-04-18 17:00:00,LONG,RANGE,62810.025,63276.09,True,False,False,True,TRAILING_SL,1.3754492216807694,863.9199999999968,4.0,2024-04,2024-04
2024-04-20 15:00:00,2024-04-22 12:00:00,LONG,RANGE,64808.375,65638.8,True,False,False,True,TRAILING_SL,1.6141171955013598,1046.0831250000044,45.0,2024-04,2024-04
2024-04-22 08:00:00,2024-04-23 04:00:00,LONG,RANGE,65961.61499999999,66391.35,True,False,False,True,TRAILING_SL,1.282192681304135,845.7550000000105,20.0,2024-04,2024-04
