Month,Total_PnL_%,Trades,Total_Points
2024-01,261.69506927111394,21,111092.12225166663
2024-02,1073.688734894176,41,510991.21180333325
2024-03,28.517791069686822,34,18686.62331166681
2024-04,5.695964882954687,46,4046.956773333549
2024-05,1.7384410827292647,41,945.4576850000092
2024-06,18.221615849246596,34,11346.931605000063
2024-07,1.9318369786722949,52,-1815.8419166665499
2024-08,17.407233819400894,29,10422.818654999954
2024-09,-6.849252797509446,38,-3894.1960166666568
2024-10,32.93670787994685,41,21995.109081666757
2024-11,74.56916743202393,68,59321.321380000445
2024-12,-23.1947552662264,42,-23428.115928333078
2025-01,29.029039271139315,44,28319.61067166694
2025-02,10.948034527315764,38,8641.752470000234
2025-03,9.734151872507127,37,8868.243018333538
2025-04,23.81049233775463,39,20299.67821833354
2025-05,7.535943732523673,36,8089.711786666866
2025-06,17.746257407532887,31,19319.730013333512
2025-07,-13.306074732390233,29,-14452.708096666578
2025-08,42.666388446187376,51,49215.49606666692
2025-09,3.0902121686282618,49,3317.811258333679
2025-10,12.032951360240544,29,15007.323598333514
2025-11,26.162260937835637,39,26848.927480000228
2025-12,2.4728267417054344,37,2090.119421666793
2026-01,18.323381759702325,14,16712.980625000077
